Team,Bronze,Silver,Gold,Total
Afghanistan,2,0,0,2
Curacao,0,0,0,0
Albania,0,0,0,0
Algeria,8,4,5,17
Andorra,0,0,0,0
Angola,0,0,0,0
Antigua,0,0,0,0
Australia,397,327,261,985
Argentina,73,53,70,196
Armenia,9,5,2,16
Aruba,0,0,0,0
American Samoa,0,0,0,0
Austria,81,72,55,208
Azerbaijan,25,12,7,44
Bahamas,13,11,12,36
Bangladesh,0,0,0,0
Barbados,1,0,0,1
Burundi,0,1,1,2
Belgium,19,30,8,57
Benin,0,0,0,0
Bermuda,0,0,0,0
Bhutan,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Belize,0,0,0,0
Belarus,71,44,24,139
Czech Republic,60,32,42,134
Boliva,0,0,0,0
Botswana,0,1,0,1
Brazil,135,159,100,394
Bahrain,1,1,1,3
Brunei,0,0,0,0
Bulgaria,97,89,33,219
Burkina Faso,0,0,0,0
Central African Republic,0,0,0,0
Cambodia,0,0,0,0
Canada,250,283,303,836
Cayman Islands,0,0,0,0
Republic of Congo,0,0,0,0
Chad,0,0,0,0
Chile,18,2,3,23
China,268,325,308,901
Ivory Coast,0,0,0,0
Cameroon,1,0,20,21
Congo,0,0,0,0
Cook Islands,0,0,0,0
Colombia,12,7,5,24
Comoros,0,0,0,0
Cape Verde,0,0,0,0
Costa Rica,2,1,1,4
Croatia,37,54,58,149
Greece,29,33,22,84
Cuba,84,110,149,343
Cyprus,0,1,0,1
Czech Republic,60,32,42,134
Denmark,61,40,92,193
Djibouti,1,0,0,1
Dominica,0,0,0,0
Dominican Republic,2,2,3,7
Ecuador,0,1,1,2
Egypt,7,4,1,12
Eritrea,1,0,0,1
El Salvador,0,0,0,0
Spain,120,206,102,428
Estonia,12,6,7,25
Ethiopia,20,8,19,47
Russia,391,344,365,1100
Fiji,0,0,13,13
Finland,209,102,43,354
France,270,211,216,697
Germany,411,349,425,1185
Micronesia,0,0,0,0
Gabon,0,1,0,1
Gambia,0,0,0,0
Great Britain,266,229,234,729
Guinea-Bissau,0,0,0,0
Georgia,18,6,8,32
Equatorial Guinea,0,0,0,0
Ghana,20,0,0,20
Grenada,0,1,1,2
Guatemala,0,1,0,1
Guinea,0,0,0,0
Guam,0,0,0,0
Guyana,1,0,0,1
Haiti,0,0,0,0
China,268,325,308,901
Honduras,0,0,0,0
Hungary,113,111,139,363
Indonesia,9,11,7,27
India,9,4,17,30
Individual Olympic Athletes,3,1,1,5
Iran,14,11,14,39
Ireland,7,10,5,22
Iraq,0,0,0,0
Iceland,2,14,0,16
Israel,7,1,1,9
Virgin Islands,0,0,0,0
Italy,283,238,203,724
British Virgin Islands,0,0,0,0
Jamaica,43,68,31,142
Jordan,0,0,1,1
Japan,256,186,109,551
Kazakhstan,32,25,20,77
Kenya,24,31,26,81
Kyrgyzstan,2,1,0,3
Kiribati,0,0,0,0
South Korea,137,216,210,563
Kosovo,0,0,1,1
Saudi Arabia,5,1,0,6
Kuwait,2,0,0,2
Laos,0,0,0,0
Latvia,8,11,3,22
Libya,0,0,0,0
Liberia,0,0,0,0
Saint Lucia,0,0,0,0
Lesotho,0,0,0,0
Lebanon,1,0,0,1
Liechtenstein,3,2,2,7
Lithuania,48,7,6,61
Luxembourg,0,2,0,2
Madagascar,0,0,0,0
Malaysia,3,9,0,12
Morocco,12,4,6,22
Malawi,0,0,0,0
Moldova,5,3,0,8
Maldives,0,0,0,0
Mexico,24,18,21,63
Mongolia,11,7,2,20
Marshall Islands,0,0,0,0
Macedonia,1,0,0,1
Mali,0,0,0,0
Malta,0,0,0,0
Montenegro,0,14,0,14
Monaco,0,0,0,0
Mozambique,1,0,1,2
Mauritius,1,0,0,1
Mauritania,0,0,0,0
Myanmar,0,0,0,0
Namibia,0,4,0,4
Nicaragua,0,0,0,0
Netherlands,201,217,199,617
Nepal,0,0,0,0
Canada,250,283,303,836
Nigeria,44,30,23,97
Niger,0,1,0,1
Norway,145,151,158,454
Nauru,0,0,0,0
New Zealand,63,49,48,160
Oman,0,0,0,0
Pakistan,17,0,16,33
Panama,0,0,1,1
Paraguay,0,17,0,17
Peru,0,14,0,14
Philippines,2,2,0,4
Palestine,0,0,0,0
Palau,0,0,0,0
Papua New Guinea,0,0,0,0
Poland,99,101,44,244
Portugal,8,5,4,17
North Korea,20,13,14,47
Puerto Rico,4,2,1,7
Qatar,4,1,0,5
Zimbabwe,1,4,17,22
Romania,182,143,137,462
South Africa,22,19,15,56
Rwanda,0,0,0,0
Samoa,0,0,0,0
Serbia,41,29,15,85
Senegal,0,1,0,1
Seychelles,0,0,0,0
Singapore,4,3,1,8
Saint Kitts,0,0,0,0
Sierra Leone,0,0,0,0
Slovenia,27,13,8,48
San Marino,0,0,0,0
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
Sri Lanka,0,1,0,1
South Sudan,0,0,0,0
Sao Tome and Principe,0,0,0,0
South Sudan,0,0,0,0
Sudan,0,1,0,1
Switzerland,76,66,55,197
Suriname,1,0,1,2
Slovakia,13,19,15,47
Sweden,185,212,118,515
Swaziland,0,0,0,0
Syria,1,1,1,3
Tanzania,0,2,0,2
Tonga,0,1,0,1
Thailand,12,8,9,29
Tajikistan,2,1,1,4
Turkmenistan,0,0,0,0
Timor-Leste,0,0,0,0
Togo,1,0,0,1
Taiwan,0,0,0,0
Trinidad,0,0,0,0
Tunisia,5,1,2,8
Turkey,21,15,17,53
United Arab Emirates,1,0,1,2
Uganda,1,1,1,3
Ukraine,98,52,47,197
Uruguay,0,1,0,1
United States,641,804,1257,2702
Uzbekistan,17,7,10,34
Vanuatu,0,0,0,0
Venezuela,8,2,1,11
Vietnam,0,3,1,4
Saint Vincent,0,0,0,0
Yemen,0,0,0,0
Zambia,1,1,0,2
