Team,Continent,Summer,Winter
China,Asia,783,80
Netherlands,Europe,436,80
United States of America,Americas,1817,364
Finland,Europe,29,235
Norway,Europe,154,233
Romania,Europe,230,0
France,Europe,482,100
Estonia,Europe,18,7
Morocco,Africa,17,0
Spain,Europe,385,1
Egypt,Africa,11,0
Italy,Europe,467,135
Chad,Africa,0,0
Azerbaijan,Asia,44,0
Russia,Europe,888,260
Argentina,Americas,183,0
Cuba,Americas,323,0
Belarus,Europe,124,15
Greece,Europe,76,0
Cameroon,Africa,20,0
Turkey,Asia,48,0
Mexico,Americas,45,0
Chile,Americas,22,0
Nicaragua,Americas,0,0
Hungary,Europe,256,0
Algeria,Africa,15,0
Bahrain,Asia,3,0
Pakistan,Asia,16,0
Iraq,Asia,0,0
Qatar,Asia,5,0
Iran,Asia,38,0
Canada,Africa,301,441
Ireland,Europe,18,0
Australia,Oceania,874,15
South Africa,Africa,56,0
Eritrea,Africa,1,0
Libya,Africa,0,0
Sudan,Africa,1,0
Belgium,Europe,48,1
Djibouti,Africa,0,0
Palestine,Oceania,0,0
Comoros,Africa,0,0
Kazakhstan,Asia,70,7
Brunei,Asia,0,0
Kuwait,Oceania,2,0
Malaysia,Asia,16,0
United Arab Emirates,Asia,2,0
Indonesia,Asia,38,0
Singapore,Asia,8,0
Uzbekistan,Asia,33,1
Kyrgyzstan,Oceania,3,0
Tajikistan,Asia,4,0
Unified Team,Europe,220,59
Japan,Asia,425,56
Ethiopia,Africa,43,0
Germany,Europe,938,327
Sweden,Europe,167,197
United States of America Virgin Islands,Americas,0,0
Sri Lanka,Asia,1,0
Armenia,Asia,16,0
Cote d'Ivoire,Americas,2,0
Kenya,Africa,69,0
Nigeria,Africa,92,0
Brazil,Americas,352,0
Ukraine,Europe,188,11
Ghana,Africa,20,0
Latvia,Oceania,17,15
Syria,Europe,2,0
Lebanon,Oceania,0,0
Mali,Africa,0,0
Switzerland,Europe,59,124
India,Asia,14,0
Georgia,Asia,32,0
Slovenia,Europe,30,18
Croatia,Europe,138,11
Guyana,Americas,0,0
Portugal,Europe,13,0
Bulgaria,Europe,82,5
Poland,Europe,152,23
Angola,Africa,0,0
Venezuela,Oceania,7,0
Colombia,Americas,22,0
Bangladesh,Asia,0,0
Jordan,Asia,1,0
Somalia,Africa,0,0
Saudi Arabia,Asia,6,0
Puerto Rico,Americas,5,0
United Kingdom,Asia,539,25
Uganda,Africa,2,0
Tunisia,Africa,8,0
Honduras,Americas,0,0
El Salvador,Americas,0,0
Turkmenistan,Asia,0,0
Mauritius,Africa,1,0
Seychelles,Africa,0,0
Czechoslovakia,Europe,8,27
Czechia,Europe,71,73
Niger,Africa,1,0
Saint Kitts and Nevis,Americas,0,0
New Zealand,Oceania,112,1
Liberia,Oceania,0,0
Suriname,Americas,1,0
Nepal,Asia,0,0
Mongolia,Asia,15,0
Palau,Oceania,0,0
Lithuania,Europe,61,0
Namibia,Africa,4,0
American Samoa,Oceania,0,0
Togo,Africa,1,0
Samoa,Oceania,0,0
Rwanda,Africa,0,0
Dominica,Americas,0,0
Benin,Africa,0,0
Haiti,Americas,0,0
Denmark,Europe,164,5
Malta,Europe,0,0
Austria,Europe,26,164
Dominican Rep.,Americas,6,0
Panama,Americas,1,0
Belize,Americas,0,0
Trinidad and Tobago,Americas,22,0
Paraguay,Americas,17,0
Uruguay,Americas,1,0
Maldives,Asia,0,0
South Korea,Asia,405,86
Mauritania,Africa,0,0
Peru,Americas,1,0
Bermuda,Americas,0,0
Serbia and Montenegro,Europe,64,0
Saint Vincent and the Grenadines,Americas,0,0
Cyprus,Asia,1,0
Papua New Guinea,Oceania,0,0
Yemen,Asia,0,0
Individual Olympic Athletes,Asia,5,0
Oman,Asia,0,0
Fiji,Oceania,13,0
Vanuatu,Oceania,0,0
Jamaica,Americas,125,0
Moldova,Oceania,8,0
Guatemala,Americas,1,0
Israel,Asia,9,0
Serbia,Europe,85,0
Monaco,Europe,0,0
British Virgin Islands,Europe,0,0
Iceland,Europe,15,0
Costa Rica,Americas,3,0
Central African Rep.,Americas,0,0
Madagascar,Africa,0,0
Bosnia and Herzegovina,Europe,0,0
Guam,Oceania,0,0
Philippines,Asia,3,0
Cayman Islands,Americas,0,0
Slovakia,Europe,42,5
Barbados,Americas,1,0
Ecuador,Americas,2,0
Guinea Bissau,Africa,0,0
Sierra Leone,Africa,0,0
Timor Leste,Asia,0,0
Dem. Rep. Congo,Europe,0,0
Gabon,Africa,1,0
Bahamas,Americas,36,0
San Marino,Europe,0,0
Thailand,Asia,27,0
Laos,Oceania,0,0
Botswana,Africa,1,0
Refugee Olympic Athletes,Asia,0,0
North Korea,Oceania,43,1
Mozambique,Africa,2,0
Solomon Islands,Oceania,0,0
Cape Verde,Africa,0,0
Equatorial Guinea,Africa,0,0
Bolivia,Asia,0,0
Andorra,Europe,0,0
Antigua and Barbuda,Americas,0,0
Luxembourg,Europe,0,2
Zimbabwe,Africa,7,0
Grenada,Americas,2,0
Senegal,Africa,0,0
Hong Kong,Asia,4,0
Saint Lucia,Americas,0,0
Federated States of Micronesia,Europe,0,0
Myanmar,Asia,0,0
Afghanistan,Asia,2,0
Yugoslavia,Asia,0,0
Guinea,Africa,0,0
Taiwan,Asia,46,0
Sao Tome and Principe,Africa,0,0
Congo,Africa,0,0
Macedonia,Asia,1,0
Tonga,Oceania,1,0
Montenegro,Europe,14,0
Gambia,Africa,0,0
Tanzania,Asia,0,0
Mistral Hojris,Oceania,0,0
Cook Islands,Oceania,0,0
Albania,Europe,0,0
Relampago,Asia,0,0
Swaziland,Africa,0,0
Burundi,Africa,2,0
Aruba,Americas,0,0
Liechtenstein,Europe,0,0
Whitini Star,Africa,0,0
Nauru,Oceania,0,0
Lucky Star,Europe,0,0
Briar,Americas,0,0
Gran Gesto,Europe,0,0
Zambia,Africa,1,0
Vietnam,Asia,4,0
Elvis Va,Americas,1,0
Netherlands Antilles,Europe,0,0
Cambodia,Asia,0,0
Malawi,Africa,0,0
Calimucho,Africa,0,0
Bhutan,Asia,0,0
Marshall Islands,Oceania,0,0
Kiribati,Oceania,0,0
Oxalis,Asia,0,0
Tuvalu,Oceania,0,0
Kosovo,Oceania,1,0
South Sudan,Africa,0,0
Don Schufro,Americas,1,0
Burkina Faso,Africa,0,0
Lancet,Oceania,0,0
Whisper,Africa,0,0
Clearwater,Americas,1,0
Lesotho,Oceania,0,0
Bonaparte,Americas,1,0
Mythilus,Asia,0,0
Rambo,Asia,0,0
Floresco,Europe,0,0
Brentina,Americas,0,0
Nadine,Asia,1,0
Pop Art,Europe,0,0
Quando Quando,Asia,0,0
Diabolo St Maurice,Europe,0,0
Ravel,Asia,0,0
Notavel,Europe,0,0
Galopin De La Font,Africa,0,0
Orion,Asia,0,0
Greenoaks Dundee,Americas,0,0
Sunrise,Africa,1,0
Salinero,Americas,1,0
Satchmo,Africa,1,0
Solos Carex,Oceania,0,0
Dow Jones,Americas,0,0
Digby,Europe,1,0
Total,,13571,3210
